10-digit PSGC,Name,Geographic Level
1380601053,Barangay 53,Bgy
1380601054,Barangay 54,Bgy
1380601055,Barangay 55,Bgy
1380601056,Barangay 56,Bgy
1380601057,Barangay 57,Bgy
1380601058,Barangay 58,Bgy
1380601059,Barangay 59,Bgy
1380601060,Barangay 60,Bgy
1380601061,Barangay 61,Bgy
1380601062,Barangay 62,Bgy
1380601063,Barangay 63,Bgy
1380601064,Barangay 64,Bgy
1380601065,Barangay 65,Bgy
1380601066,Barangay 66,Bgy
1380601067,Barangay 67,Bgy
1380601068,Barangay 68,Bgy
1380601069,Barangay 69,Bgy
1380601070,Barangay 70,Bgy
1380601071,Barangay 71,Bgy
1380601072,Barangay 72,Bgy
1380601073,Barangay 73,Bgy
1380601074,Barangay 74,Bgy
1380601075,Barangay 75,Bgy
1380601076,Barangay 76,Bgy
1380601077,Barangay 77,Bgy
1380601078,Barangay 78,Bgy
1380601079,Barangay 79,Bgy
1380601080,Barangay 80,Bgy
1380601081,Barangay 81,Bgy
1380601082,Barangay 82,Bgy
1380601083,Barangay 83,Bgy
1380601084,Barangay 84,Bgy
1380601085,Barangay 85,Bgy
1380601086,Barangay 86,Bgy
1380601087,Barangay 87,Bgy
1380601088,Barangay 88,Bgy
1380601089,Barangay 89,Bgy
1380601090,Barangay 90,Bgy
1380601091,Barangay 91,Bgy
1380601092,Barangay 92,Bgy
1380601093,Barangay 93,Bgy
1380601094,Barangay 94,Bgy
1380601095,Barangay 95,Bgy
1380601096,Barangay 96,Bgy
1380601097,Barangay 97,Bgy
1380601098,Barangay 98,Bgy
1380601099,Barangay 99,Bgy
1380601100,Barangay 100,Bgy
1380601101,Barangay 101,Bgy
1380601102,Barangay 102,Bgy
1380601103,Barangay 103,Bgy
1380601104,Barangay 104,Bgy
1380601105,Barangay 105,Bgy
1380601106,Barangay 106,Bgy
1380601107,Barangay 107,Bgy
1380601108,Barangay 108,Bgy
1380601109,Barangay 109,Bgy
1380601110,Barangay 110,Bgy
1380601111,Barangay 111,Bgy
1380601112,Barangay 112,Bgy
1380601116,Barangay 116,Bgy
1380601117,Barangay 117,Bgy
1380601118,Barangay 118,Bgy
1380601119,Barangay 119,Bgy
1380601120,Barangay 120,Bgy
1380601121,Barangay 121,Bgy
1380601122,Barangay 122,Bgy
1380601123,Barangay 123,Bgy
1380601124,Barangay 124,Bgy
1380601125,Barangay 125,Bgy
1380601126,Barangay 126,Bgy
1380601127,Barangay 127,Bgy
1380601128,Barangay 128,Bgy
1380601129,Barangay 129,Bgy
1380601130,Barangay 130,Bgy
1380601131,Barangay 131,Bgy
1380601132,Barangay 132,Bgy
1380601133,Barangay 133,Bgy
1380601134,Barangay 134,Bgy
1380601135,Barangay 135,Bgy
1380601136,Barangay 136,Bgy
1380601137,Barangay 137,Bgy
1380601138,Barangay 138,Bgy
1380601139,Barangay 139,Bgy
1380601140,Barangay 140,Bgy
1380601141,Barangay 141,Bgy
1380601142,Barangay 142,Bgy
1380601143,Barangay 143,Bgy
1380601144,Barangay 144,Bgy
1380601145,Barangay 145,Bgy
1380601146,Barangay 146,Bgy
1380601147,Barangay 147,Bgy
1380601148,Barangay 148,Bgy
1380601149,Barangay 149,Bgy
1380601150,Barangay 150,Bgy
1380601151,Barangay 151,Bgy
1380601152,Barangay 152,Bgy
1380601153,Barangay 153,Bgy
1380601154,Barangay 154,Bgy
1380601155,Barangay 155,Bgy
1380601156,Barangay 156,Bgy
1380601157,Barangay 157,Bgy
1380601158,Barangay 158,Bgy
1380601159,Barangay 159,Bgy
1380601160,Barangay 160,Bgy
1380601161,Barangay 161,Bgy
1380601162,Barangay 162,Bgy
1380601163,Barangay 163,Bgy
1380601164,Barangay 164,Bgy
1380601165,Barangay 165,Bgy
1380601166,Barangay 166,Bgy
1380601167,Barangay 167,Bgy
1380601168,Barangay 168,Bgy
1380601169,Barangay 169,Bgy
1380601170,Barangay 170,Bgy
1380601171,Barangay 171,Bgy
1380601172,Barangay 172,Bgy
1380601173,Barangay 173,Bgy
1380601174,Barangay 174,Bgy
1380601175,Barangay 175,Bgy
1380601176,Barangay 176,Bgy
1380601177,Barangay 177,Bgy
1380601178,Barangay 178,Bgy
1380601179,Barangay 179,Bgy
1380601180,Barangay 180,Bgy
1380601181,Barangay 181,Bgy
1380601182,Barangay 182,Bgy
1380601183,Barangay 183,Bgy
1380601184,Barangay 184,Bgy
1380601185,Barangay 185,Bgy
1380601186,Barangay 186,Bgy
1380601187,Barangay 187,Bgy
1380601188,Barangay 188,Bgy
1380601189,Barangay 189,Bgy
1380601190,Barangay 190,Bgy
1380601191,Barangay 191,Bgy
1380601192,Barangay 192,Bgy
1380601193,Barangay 193,Bgy
1380601194,Barangay 194,Bgy
1380601195,Barangay 195,Bgy
1380601196,Barangay 196,Bgy
1380601197,Barangay 197,Bgy
1380601198,Barangay 198,Bgy
1380601199,Barangay 199,Bgy
1380601200,Barangay 200,Bgy
1380601201,Barangay 201,Bgy
1380601202,Barangay 202,Bgy
1380601203,Barangay 202-A,Bgy
1380601204,Barangay 203,Bgy
1380601205,Barangay 204,Bgy
1380601206,Barangay 205,Bgy
1380601207,Barangay 206,Bgy
1380601208,Barangay 207,Bgy
1380601209,Barangay 208,Bgy
1380601210,Barangay 209,Bgy
1380601211,Barangay 210,Bgy
1380601212,Barangay 211,Bgy
1380601213,Barangay 212,Bgy
1380601214,Barangay 213,Bgy
1380601215,Barangay 214,Bgy
1380601216,Barangay 215,Bgy
1380601217,Barangay 216,Bgy
1380601218,Barangay 217,Bgy
1380601219,Barangay 218,Bgy
1380601220,Barangay 219,Bgy
1380601221,Barangay 220,Bgy
1380601222,Barangay 221,Bgy
1380601223,Barangay 222,Bgy
1380601224,Barangay 223,Bgy
1380601225,Barangay 224,Bgy
1380601226,Barangay 225,Bgy
1380601227,Barangay 226,Bgy
1380601228,Barangay 227,Bgy
1380601229,Barangay 228,Bgy
