psgc,barangay,city
"PH137603003","Buli","Unknown"
"PH137603004","Cupang","Unknown"
"PH137603005","Poblacion","Unknown"
"PH137603006","Putatan","Unknown"
"PH137603007","Sucat","Unknown"
"PH137603008","Tunasan","Unknown"
"PH137603009","New Alabang Village","Unknown"
"PH137604001","Baclaran","Unknown"
"PH137604002","Don Galo","Unknown"
"PH137604003","La Huerta","Unknown"
"PH137604004","San Dionisio","Unknown"
"PH137604005","Santo Niño","Unknown"
"PH137604006","Tambo","Unknown"
"PH137604007","B. F. Homes","Unknown"
"PH137604008","Don Bosco","Unknown"
"PH137604009","Marcelo Green Village","Unknown"
"PH137604010","Merville","Unknown"
"PH137604011","Moonwalk","Unknown"
"PH137604012","San Antonio","Unknown"
"PH137604013","San Isidro","Unknown"
"PH137604014","San Martin De Porres","Unknown"
"PH137604015","Sun Valley","Unknown"
"PH137604016","Vitalez","Unknown"
"PH137607001","Tanyag (Bagong Tanyag)","Unknown"
"PH137607002","Bagumbayan","Unknown"
"PH137607003","Bambang","Unknown"
"PH137607004","Calzada","Unknown"
"PH137607005","Hagonoy","Unknown"
"PH137607006","Ibayo-Tipas","Unknown"
"PH137607007","Ligid-Tipas","Unknown"
"PH137607008","Lower Bicutan","Unknown"
"PH137607009","Maharlika Village","Unknown"
"PH137607010","Napindan","Unknown"
"PH137607011","Palingon","Unknown"
"PH137607012","Santa Ana","Unknown"
"PH137607013","Central Signal Village (Signal Village)","Unknown"
"PH137607014","Tuktukan","Unknown"
"PH137607015","Upper Bicutan","Unknown"
"PH137607016","Ususan","Unknown"
"PH137607017","Wawa","Unknown"
"PH137607018","Western Bicutan","Unknown"
"PH137607019","Central Bicutan","Unknown"
"PH137607021","Katuparan","Unknown"
"PH137607022","New Lower Bicutan","Unknown"
"PH137607023","North Daang Hari","Unknown"
"PH137607024","North Signal Village","Unknown"
"PH137607025","Pinagsama","Unknown"
"PH137607026","San Miguel","Unknown"
"PH137607027","South Daang Hari","Unknown"
"PH137607028","South Signal Village","Unknown"
"PH137607020","Fort Bonifacio","Unknown"
"1380100176","Barangay 176","[City not found in master list]"
